Entity Name,Status,Filename,Source
Housing Authority of the City of Livermore,Success,Housing_Authority_of_the_City_of_Livermore_Report.pdf,FAC
HOUSING AUTHORITY OF THE CITY OF LOS ANGELES,Success,HOUSING_AUTHORITY_OF_THE_CITY_OF_LOS_ANGELES_Report.pdf,FAC
Housing Authority of the City of Madera,Success,Housing_Authority_of_the_City_of_Madera_Report.pdf,FAC
Housing Authority of the City of Needles,Success,Housing_Authority_of_the_City_of_Needles_Report.pdf,FAC
"Housing Authority of the City of Oakland, California",Success,Housing_Authority_of_the_City_of_Oakland_California_Report.pdf,FAC
Housing Authority of the City of Port Hueneme,Success,Housing_Authority_of_the_City_of_Port_Hueneme_Report.pdf,FAC
Housing Authority of the City of San Buenaventura,Success,Housing_Authority_of_the_City_of_San_Buenaventura_Report.pdf,FAC
Housing Authority of the City of San Luis Obispo,Success,Housing_Authority_of_the_City_of_San_Luis_Obispo_Report.pdf,FAC
Housing Authority of the City of Santa Barbara,Success,Housing_Authority_of_the_City_of_Santa_Barbara_Report.pdf,FAC
Housing Authority of the County of Alameda,Success,Housing_Authority_of_the_County_of_Alameda_Report.pdf,FAC
HOUSING AUTHORITY OF THE COUNTY OF BUTTE,Success,HOUSING_AUTHORITY_OF_THE_COUNTY_OF_BUTTE_Report.pdf,FAC
Housing Authority of the County of Humboldt,Success,Housing_Authority_of_the_County_of_Humboldt_Report.pdf,FAC
Housing Authority of the County of Kern,Success,Housing_Authority_of_the_County_of_Kern_Report.pdf,FAC
Housing Authority of the County of Kings,Success,Housing_Authority_of_the_County_of_Kings_Report.pdf,FAC
Housing Authority of the County of Merced,Success,Housing_Authority_of_the_County_of_Merced_Report.pdf,FAC
Housing Authority of the County of Riverside,Success,Housing_Authority_of_the_County_of_Riverside_Report.pdf,FAC
Housing Authority of the County of San Mateo,Success,Housing_Authority_of_the_County_of_San_Mateo_Report.pdf,FAC
Housing Authority of the County of Santa Barbara,Success,Housing_Authority_of_the_County_of_Santa_Barbara_Report.pdf,FAC
HUENEME ELEMENTARY SCHOOL DISTRICT,Success,HUENEME_ELEMENTARY_SCHOOL_DISTRICT_Report.pdf,FAC
Hughson Unified School District,Success,Hughson_Unified_School_District_Report.pdf,FAC
Humboldt County Resource Conservation District,Success,Humboldt_County_Resource_Conservation_District_Report.pdf,FAC
HUMBOLDT TRANSIT AUTHORITY,Success,HUMBOLDT_TRANSIT_AUTHORITY_Report.pdf,FAC
HUNTINGTON BEACH CITY SCHOOL DISTRICT,Success,HUNTINGTON_BEACH_CITY_SCHOOL_DISTRICT_Report.pdf,FAC
Imperial Community College District,Success,Imperial_Community_College_District_Report.pdf,FAC
Imperial County Transportation Commission,Success,Imperial_County_Transportation_Commission_Report.pdf,FAC
Imperial Unified School District,Success,Imperial_Unified_School_District_Report.pdf,FAC
Imperial Valley Housing Authority,Success,Imperial_Valley_Housing_Authority_Report.pdf,FAC
INGLEWOOD UNIFIED SCHOOL DISTRICT,Success,INGLEWOOD_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Inland Empire Utilities Agency,Success,Inland_Empire_Utilities_Agency_Report.pdf,FAC
INLAND VALLEY DEVELOPMENT AGENCY,Success,INLAND_VALLEY_DEVELOPMENT_AGENCY_Report.pdf,FAC
IRVINE RANCH WATER DISTRICT,Success,IRVINE_RANCH_WATER_DISTRICT_Report.pdf,FAC
IRVINE UNIFIED SCHOOL DISTRICT,Success,IRVINE_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
JACKSON COUNTY SCHOOL DISTRICT NO. 9,Success,JACKSON_COUNTY_SCHOOL_DISTRICT_NO._9_Report.pdf,FAC
JAMESTOWN ELEMENTARY SCHOOL DISTRICT,Success,JAMESTOWN_ELEMENTARY_SCHOOL_DISTRICT_Report.pdf,FAC
JAMUL-DULZURA UNION SCHOOL DISTRICT,Success,JAMUL-DULZURA_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
Jefferson Elementary School District,Success,Jefferson_Elementary_School_District_Report.pdf,FAC
JEFFERSON ELEMENTARY SCHOOL DISTRICT,Success,JEFFERSON_ELEMENTARY_SCHOOL_DISTRICT_Report.pdf,FAC
Jefferson Union High School District,Success,Jefferson_Union_High_School_District_Report.pdf,FAC
JOHN SWETT UNIFIED SCHOOL DISTRICT,Success,JOHN_SWETT_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Julian Union School District,Success,Julian_Union_School_District_Report.pdf,FAC
Jurupa Community Services District,Success,Jurupa_Community_Services_District_Report.pdf,FAC
JURUPA UNIFIED SCHOOL DISTRICT,Success,JURUPA_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Kelseyville Unified School District,Success,Kelseyville_Unified_School_District_Report.pdf,FAC
KEPPEL UNION SCHOOL DISTRICT,Success,KEPPEL_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
Kerman Unified School District,Success,Kerman_Unified_School_District_Report.pdf,FAC
Kern Community College District,Success,Kern_Community_College_District_Report.pdf,FAC
Kern High School District,Success,Kern_High_School_District_Report.pdf,FAC
Kernville Union School District,Success,Kernville_Union_School_District_Report.pdf,FAC
Keyes Union Elementary School District,Success,Keyes_Union_Elementary_School_District_Report.pdf,FAC
King City Union School District,Success,King_City_Union_School_District_Report.pdf,FAC
Kings Canyon Unified School District,Success,Kings_Canyon_Unified_School_District_Report.pdf,FAC
KINGS COUNTY AREA PUBLIC TRANSIT AGENCY,Success,KINGS_COUNTY_AREA_PUBLIC_TRANSIT_AGENCY_Report.pdf,FAC
Kings/Tulare Area Agency on Aging,Success,Kings_Tulare_Area_Agency_on_Aging_Report.pdf,FAC
Kingsburg Elementary Charter School District,Success,Kingsburg_Elementary_Charter_School_District_Report.pdf,FAC
KLAMATH-TRINITY JOINT UNIFIED SCHOOL DISTRICT,Success,KLAMATH-TRINITY_JOINT_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Konocti Unified School District,Success,Konocti_Unified_School_District_Report.pdf,FAC
ACE Charter School,Failed,N/A,N/A
Adams 12 Five Star Schools,Failed,N/A,N/A
ALAMEDA COUNTY OFFICE OF EDUCATION,Failed,N/A,N/A
ALBERT EINSTEIN ACADEMIES,Failed,N/A,N/A
Alder Graduate School of Education,Failed,N/A,N/A
Allegiance STEAM Academy,Failed,N/A,N/A
Alpha Public Schools,Failed,N/A,N/A
ALTA VISTA ELEMENTARY SCHOOL,Failed,N/A,N/A
ALTUS SCHOOLS SAN DIEGO,Failed,N/A,N/A
ALTUS SCHOOLS SOUTHERN CALIFORNIA,Failed,N/A,N/A
"""ALVORD UNIFIED SCHOOL DISTRICT										 										 							ALVORD UNIFIED SCHOOL DISTRICT""",Failed,N/A,N/A
Amador County Office of Education,Failed,N/A,N/A
AMERICA'S FINEST CHARTER SCHOOL,Failed,N/A,N/A
ANAHEIM TRANSPORATION NETWORK,Failed,N/A,N/A
"ANTELOPE VALLEY LEARNING ACADEMY, INC.",Failed,N/A,N/A
"Asian American Drug Abuse Program, Inc",Failed,N/A,N/A
Aspen Public Schools,Failed,N/A,N/A
Association of Bay Area Governments,Failed,N/A,N/A
Association of Monterey Bay Area Governments,Failed,N/A,N/A
Birmingham Community Charter High School,Failed,N/A,N/A
BLACK GOLD COOPERATIVE LIBRARY SYSTEM,Failed,N/A,N/A
BLUE RIDGE ACADEMY,Failed,N/A,N/A
BUTTE COUNTY ASSOCIATION OF GOVERNMENTS,Failed,N/A,N/A
Butte county Office of Education,Failed,N/A,N/A
CABRILLO POINT ACADEMY,Failed,N/A,N/A
Calaveras County Office of Education,Failed,N/A,N/A
CalHFA HOMEOWNER RELIEF CORPORATION,Failed,N/A,N/A
Califa Group,Failed,N/A,N/A
California Montessori Project,Failed,N/A,N/A
California Online Public Schools,Failed,N/A,N/A
CALIFORNIA RESIDENTIAL MITIGATION PROGRAM,Failed,N/A,N/A
CALIFORNIA STATEWIDE AUTOMATED WELFARE SYSTEM CONSORTIUM JPA,Failed,N/A,N/A
California Waterfowl Association,Failed,N/A,N/A
Camino Nuevo Charter Academy,Failed,N/A,N/A
Ceiba Public Schools,Failed,N/A,N/A
Charter High School of Arts Association,Failed,N/A,N/A
City and County of San Francisco,Failed,N/A,N/A
CLAYTON VALLEY CHARTER HIGH SCHOOL,Failed,N/A,N/A
"Clovis, City of",Failed,N/A,N/A
Coachella Valley Association of Governments,Failed,N/A,N/A
COMMUNITY CHRISTIAN COLLEGE,Failed,N/A,N/A
COMMUNITY HUMAN SERVICES,Failed,N/A,N/A
CONSOLIDATED FIRE AGENCIES,Failed,N/A,N/A
Contra Costa County Office of Education,Failed,N/A,N/A
Contra Costa SELPA,Failed,N/A,N/A
Council of San Benito County Governments,Failed,N/A,N/A
"CRESCENT VIEW SOUTH, INC.",Failed,N/A,N/A
"CRESCENT VIEW WEST PUBLIC CHARTER, INC",Failed,N/A,N/A
Darnall Charter School,Failed,N/A,N/A
Del Norte County Schools,Failed,N/A,N/A
"DEL NORTE SENIOR CENTER, INC.",Failed,N/A,N/A
Edison-Bethune Charter Academy,Failed,N/A,N/A
"Ednovate, Inc.",Failed,N/A,N/A
Education for Change,Failed,N/A,N/A
EL CENTRO REGIONAL MEDICAL CENTER,Failed,N/A,N/A
El Dorado County Office of Education,Failed,N/A,N/A
El Sol Science and Arts Academy of Santa Ana,Failed,N/A,N/A
Empire Springs,Failed,N/A,N/A
Equitas Academy Charter School,Failed,N/A,N/A
EUREKA CITY SCHOOLS,Failed,N/A,N/A
Excel Academy Charter Schools,Failed,N/A,N/A
EXTERA PUBLIC SCHOOLS,Failed,N/A,N/A
"FAMILY SERVICES OF TULARE COUNTY, INC.",Failed,N/A,N/A
Farmersville USD,Failed,N/A,N/A
FIRST 5 ALAMEDA COUNTY,Failed,N/A,N/A
FIRST 5 SANTA CLARA COUNTY,Failed,N/A,N/A
FRESNO COUNCIL OF GOVERNMENTS,Failed,N/A,N/A
Fresno County Superintendent of Schools,Failed,N/A,N/A
Glenn County Office of Education,Failed,N/A,N/A
Global Education Collaborative,Failed,N/A,N/A
Gompers Preparatory Academy,Failed,N/A,N/A
Gorman Learning Center,Failed,N/A,N/A
GRANADA HILLS CHARTER HIGH SCHOOL,Failed,N/A,N/A
GREATER ANAGEIM SPECIAL EDUCATION LOCAL PLAN AREA,Failed,N/A,N/A
GRIZZLY CHALLENGE CHARTER SCHOOL,Failed,N/A,N/A
GUAJOME PARK ACADEMY,Failed,N/A,N/A
HELIX CHARTER HIGH SCHOOL,Failed,N/A,N/A
HUMBOLDT COUNTY OFFICE OF EDUCATION,Failed,N/A,N/A
IFTIN CHARTER SCHOOL,Failed,N/A,N/A
Imperial County of Office of Education,Failed,N/A,N/A
Imperial Valley Regional Occupation Program,Failed,N/A,N/A
Inland Empire Health Plan,Failed,N/A,N/A
INLAND SOUTHERN CALIFORNIA UNITED WAY,Failed,N/A,N/A
Integrity Charter School,Failed,N/A,N/A
Invictus Schools,Failed,N/A,N/A
Inyo County Office of Education,Failed,N/A,N/A
James Jordan Middle School,Failed,N/A,N/A
Keiller Leadership Academy,Failed,N/A,N/A
Kern Council of Governments,Failed,N/A,N/A
Kern County Superintendent of Schools,Failed,N/A,N/A
Kings County Association of Governments,Failed,N/A,N/A
Kings County Office of Education,Failed,N/A,N/A
KIPP SoCal Public Schools,Failed,N/A,N/A
